NumIters	Seconds	LearningRate	loss
178120.0	65492.838282	0.001	0.421576
178140.0	65500.201129	0.001	0.0973983
178160.0	65507.673216	0.001	0.259467
178180.0	65514.984571	0.001	0.282959
178200.0	65522.232411	0.001	0.216858
178220.0	65529.544629	0.001	0.729756
178240.0	65536.69838	0.001	0.728048
178260.0	65544.095669	0.001	0.679059
178280.0	65551.357957	0.001	0.468974
178300.0	65558.695906	0.001	0.493474
178320.0	65565.905128	0.001	0.0606965
178340.0	65573.355602	0.001	0.523493
178360.0	65580.757406	0.001	0.827092
178380.0	65588.002058	0.001	0.691361
178400.0	65595.374766	0.001	0.173418
178420.0	65602.802407	0.001	0.491029
178440.0	65610.257303	0.001	0.630232
178460.0	65617.550747	0.001	0.436101
178480.0	65624.963059	0.001	0.432456
178500.0	65632.176997	0.001	0.284386
178520.0	65639.446954	0.001	0.526738
178540.0	65646.826145	0.001	0.672464
178560.0	65654.183202	0.001	0.247016
178580.0	65661.640213	0.001	0.225314
178600.0	65669.109395	0.001	0.15827
178620.0	65676.570055	0.001	0.316895
178640.0	65683.902905	0.001	0.109995
178660.0	65691.215986	0.001	0.512665
178680.0	65698.645689	0.001	0.694165
178700.0	65706.138365	0.001	0.116524
178720.0	65713.39677	0.001	0.162863
178740.0	65720.703115	0.001	0.616374
178760.0	65727.892999	0.001	0.443978
178780.0	65735.191238	0.001	0.334661
178800.0	65742.72217	0.001	0.743231
178820.0	65750.148167	0.001	0.121577
178840.0	65757.510661	0.001	0.713817
178860.0	65764.872443	0.001	0.638582
178880.0	65772.278712	0.001	0.321085
178900.0	65779.675583	0.001	0.175231
